Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0xc7ef4fbf4b8cf4ee7aa2b86e8831f32a02d1fc555a20e2ed3672d9e2b06f8ed5,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,stevegachau.eth,Eco. Grants,-150.0,-1200.04,ENS,1
0xc7ef4fbf4b8cf4ee7aa2b86e8831f32a02d1fc555a20e2ed3672d9e2b06f8ed5,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,stevegachau.eth,Eco. Grants,-1000.0,-1004.26,USDC,1
0x547ced72eb560313e66b51938a27c4393c706baa2fbfa100c6533ac119f9bd2b,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,-6000.0,-6025.59,USDC,1
0x547ced72eb560313e66b51938a27c4393c706baa2fbfa100c6533ac119f9bd2b,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1213da60935679d412ef6fc512642e6f83988ec1,ginge.eth,Salaries,-2000.0,-2008.53,USDC,1
0x547ced72eb560313e66b51938a27c4393c706baa2fbfa100c6533ac119f9bd2b,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,bobjiang.eth,Salaries,-2000.0,-2008.53,USDC,1
0xb7777c681835fe3261648d69085ee441b5fc324a95aeebd8d72ce4a23202f8f0,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x51050ec063d393217b436747617ad1c2285aeeee,raffy.eth,Eco. Grants,-100.0,-800.02,ENS,1
0xb7777c681835fe3261648d69085ee441b5fc324a95aeebd8d72ce4a23202f8f0,2022-06-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x51050ec063d393217b436747617ad1c2285aeeee,raffy.eth,Eco. Grants,-1.0,-1067.1,ETH,1
0xd8a0754449941fc177f41946c7553c819eac0f0c2a6b3d312b57435e4a4d4a39,2022-07-02,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x690f0581ececcf8389c223170778cd9d029606f2,ENS Labs,Hackathons,-5000.0,-5006.8,USDC,1
0x9bf05272c1debfd466109f0dc99f6aac323934ee04b92a8cffb8720ff8bbf0c1,2022-07-03,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG ,Community SG ,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0.05,53.64750000000001,ETH,1
0x9bf05272c1debfd466109f0dc99f6aac323934ee04b92a8cffb8720ff8bbf0c1,2022-07-03,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG ,Community SG ,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,486.0,4332.47,ENS,1
0x9bf05272c1debfd466109f0dc99f6aac323934ee04b92a8cffb8720ff8bbf0c1,2022-07-03,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG ,Community SG ,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,1083.0,1085.03,USDC,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,156.0,302019.12,ETH,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,42500.0,617138.01,ENS,1
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,1553000.0,1554200.36,USDC,1
0x2930846bf5fe2844d4a5d280ae54753a6265f2f75b576945fdd268fc863b43e9,2022-08-15,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG,Community SG,-55000.0,-55026.31,USDC,1
0x2930846bf5fe2844d4a5d280ae54753a6265f2f75b576945fdd268fc863b43e9,2022-08-15,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG,Community SG,-15.0,-28494.600000000002,ETH,1
0x2930846bf5fe2844d4a5d280ae54753a6265f2f75b576945fdd268fc863b43e9,2022-08-15,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG,Community SG,-10000.0,-149998.63,ENS,1
0xb8d1a85fba5ae5d8e20288759d19dc364af2d5aa37f8ae2888c32257cec1ab87,2022-08-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x69a79128462853833e22bba1a43bcdac4725761b,Support SG,Support,-9.0,-16894.440000000002,ETH,1
0x59c7f78fbc67b7e3092bfac62159321aaf3ddb77e2c03e56c3f1dce702c84928,2022-08-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x0d06a817584ac378849f03df6f11a9ad67dd786d,Merch SG,Merch,-500.0,-7510.17,ENS,1
0x59c7f78fbc67b7e3092bfac62159321aaf3ddb77e2c03e56c3f1dce702c84928,2022-08-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x0d06a817584ac378849f03df6f11a9ad67dd786d,Merch SG,Merch,-35000.0,-35039.79,USDC,1
0xb8d1a85fba5ae5d8e20288759d19dc364af2d5aa37f8ae2888c32257cec1ab87,2022-08-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x69a79128462853833e22bba1a43bcdac4725761b,Support SG,Support,-120000.0,-120136.43,USDC,1
0xb8d1a85fba5ae5d8e20288759d19dc364af2d5aa37f8ae2888c32257cec1ab87,2022-08-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x69a79128462853833e22bba1a43bcdac4725761b,Support SG,Support,-5000.0,-75101.7,ENS,1
