Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0x1d77405969a3840d3202b54afc73eed74860a787d5d61fc58333e9bbce7fcd59,2024-09-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x242ba6d68ffeb4a098b591b32d370f973ff882b7,0x242ba6d68ffeb4a098b591b32d370f973ff882b7,0x242ba6d68ffeb4a098b591b32d370f973ff882b7,-25000.0,-25000.0,USDC,0
0x643b11eb77bc8ff747ea1fa819c8894d6bab9aa77ec09aa390301699ab174df1,2024-09-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1337e2624ffec537087c6774e9a18031cfeaf0a9,0x1337e2624ffec537087c6774e9a18031cfeaf0a9,0x1337e2624ffec537087c6774e9a18031cfeaf0a9,-1.0,-2373.04,ETH,0
0x643b11eb77bc8ff747ea1fa819c8894d6bab9aa77ec09aa390301699ab174df1,2024-09-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x571fd71e4ebc85037f5bb6439022e90ce260df39,0x571fd71e4ebc85037f5bb6439022e90ce260df39,0x571fd71e4ebc85037f5bb6439022e90ce260df39,-1.0,-2373.04,ETH,0
0x643b11eb77bc8ff747ea1fa819c8894d6bab9aa77ec09aa390301699ab174df1,2024-09-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x8d25687829d6b85d9e0020b8c89e3ca24de20a89,0x8d25687829d6b85d9e0020b8c89e3ca24de20a89,0x8d25687829d6b85d9e0020b8c89e3ca24de20a89,-1.0,-2373.04,ETH,0
0x0efd690b2499870bbd6d226942743392c18b553d18363bddd49ab2ba3cb8ebea,2024-08-09,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x20e6cdba3a9e4d67bcfca8fe030697b1b8950f6d,0x20e6cdba3a9e4d67bcfca8fe030697b1b8950f6d,0x20e6cdba3a9e4d67bcfca8fe030697b1b8950f6d,-3300.0,-3300.0,USDC,0
0x427000019f3a8298d6ac4b59ec647b56385e2ab50f1d9f89c1ed9b289fbece82,2024-09-04,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x4f0b0426f2c370b61206172c8d042f54ad384a62,0x4f0b0426f2c370b61206172c8d042f54ad384a62,0x4f0b0426f2c370b61206172c8d042f54ad384a62,-4000.0,-4000.0,USDC,0
