Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Quarter
Stream,2024-05-31,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,42465.737499999996,42465.737499999996,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,EFP,EFP,Stream,42465.737499999996,42465.737499999996,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Blockful,Blockful,Stream,25479.4425,25479.4425,USDC,1,2024Q2
Stream,2024-05-31,Providers,Providers,Providers,Namehash,Namehash,Stream,50958.885,50958.885,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,Wildcard,Wildcard,Stream,16438.350000000002,16438.350000000002,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,Unruggable,Unruggable,Stream,32876.700000000004,32876.700000000004,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,57534.225,57534.225,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,Namespace,Namespace,Stream,16438.350000000002,16438.350000000002,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,Unicorn,Unicorn,Stream,16438.350000000002,16438.350000000002,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,41095.875,41095.875,USDC,1,2024Q2
Stream,2024-06-30,Providers,Providers,Providers,EFP,EFP,Stream,41095.875,41095.875,USDC,1,2024Q2
