Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Quarter
0x78eff31104179b1140ff728f1f4773279bc4f909af7f47cb58f806240a073a67,2024-05-21,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x9531c059098e3d194ff87febb587ab07b30b1306,Rotki,PG Grants,30000.0,30000.0,USDC,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd39a979841623a4731fd41b0ba72262f7cc9667c,illuminated.eth,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xe6829705c43530973c9a9394513a18e6a60ea22a,bloomnetwork.eth,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x5219ffb88175588510e9752a1ecaa3cd217ca783,bloomnetwork.eth,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xbc7797319b3ed4246c7078cc4e8b28ea2c6872d0,dhive.eth,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x83897407f193e2736912b191cc0d98ff53ea5533,modularcrypto.eth,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd58bf63c2a565dced209d608c240463f5f3982e9,ethdaily.eth,PG Small Grants,3.0,11286.66,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1,pairwise.eth,PG Small Grants,2.0,7524.44,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x2c844b941c67b24c799fd43bad117cdf7f23ef81,glodollar.eth,PG Small Grants,1.0,3762.22,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd48fbaf788ee2831086f074c208cd90269ead050,daveytea.eth,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0x54817576bf3777b49b9232836e84c7365768956872a85a545bbd13cc02f792fa,2024-05-29,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x9531c059098e3d194ff87febb587ab07b30b1306,Rotki,PG Small Grants,0.25,940.555,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x91657f94740852406d9e57ae156e9a9d510f6d48,easlabs.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x63a556c75443b176b5a4078e929e38beb37a1ff2,apoorv.eth,PG Small Grants,2.0,7021.88,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x9531c059098e3d194ff87febb587ab07b30b1306,Rotki,PG Small Grants,3.0,10532.82,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd48fbaf788ee2831086f074c208cd90269ead050,daveytea.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd58bf63c2a565dced209d608c240463f5f3982e9,ethdaily.eth,PG Small Grants,1.0,3510.94,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x83897407f193e2736912b191cc0d98ff53ea5533,modularcrypto.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1,pairwise.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
0xb284868d8977951e2a848856267ab513ddf31ccc2ac67ee09e1163207ecb9aa6,2024-06-20,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xd43b89621ffd48a8a51704f85fd0c87cbc0eb299,2118.eth,PG Small Grants,0.25,877.735,ETH,1,2024Q2
